City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
wagar,16.1525,36.2032,84.43,52,85,6.44,SD,1619757709
coquimbo,-29.9533,-71.3436,55.4,88,90,2.3,CL,1619757817
yar-sale,66.8333,70.8333,31.48,99,100,6.31,RU,1619757850
college,64.8569,-147.8028,39.2,81,75,8.05,US,1619757460
coihaique,-45.5752,-72.0662,48.0,95,88,4.7,CL,1619757710
kodiak,57.79,-152.4072,44.6,76,40,4.61,US,1619757711
cidreira,-30.1811,-50.2056,64.35,80,1,7.61,BR,1619757711
kailua,21.4022,-157.7394,78.8,73,40,11.5,US,1619757711
cururupu,-1.8283,-44.8683,72.81,98,100,2.77,BR,1619757712
tilichiki,60.4667,166.1,33.21,99,100,2.59,RU,1619757712
bowen,-20.0167,148.2333,77.0,65,40,14.97,AU,1619757852
meulaboh,4.1363,96.1285,84.15,71,78,7.16,ID,1619757713
beroroha,-21.6667,45.1667,76.86,63,0,4.79,MG,1619757713
souillac,-20.5167,57.5167,78.8,83,40,12.66,MU,1619757789
doume,4.2333,13.45,69.82,89,100,1.16,CM,1619757713
marsaxlokk,35.8419,14.5431,62.01,100,20,9.22,MT,1619757714
vardo,70.3705,31.1107,26.6,80,75,26.46,NO,1619757714
dingle,10.9995,122.6711,92.21,39,31,7.23,PH,1619757714
tuatapere,-46.1333,167.6833,53.01,72,60,10.0,NZ,1619757785
nishihara,26.1842,127.7558,75.2,69,0,10.36,JP,1619757853
khani,41.9563,42.9566,60.8,77,0,2.3,GE,1619757715
obra,24.4167,82.9833,105.28,6,2,5.39,IN,1619757715
marsala,37.7966,12.4352,68.0,100,0,5.75,IT,1619757554
faanui,-16.4833,-151.75,81.41,70,98,2.89,PF,1619757808
east london,-33.0153,27.9116,63.61,71,100,13.85,ZA,1619757716
pisco,-13.7,-76.2167,64.99,88,0,2.3,PE,1619757716
zunyi,27.6867,106.9072,77.81,50,80,4.21,CN,1619757717
basco,20.4487,121.9702,79.54,73,44,7.31,PH,1619757717
boca de parita,8.0167,-80.45,78.15,81,100,9.64,PA,1619757717
teya,60.3778,92.6267,36.36,99,100,10.45,RU,1619757718
ponta do sol,32.6667,-17.1,55.99,73,47,1.99,PT,1619757718
togur,58.3631,82.8265,46.56,67,93,17.07,RU,1619757718
aksay,47.26,39.87,53.6,76,20,13.42,RU,1619757719
zhigansk,66.7697,123.3711,33.24,99,99,6.15,RU,1619757719
keetmanshoop,-26.5833,18.1333,48.33,56,0,5.01,NA,1619757720
sao joao da barra,-21.6403,-41.0511,66.58,87,56,12.03,BR,1619757720
manggar,-2.8833,108.2667,87.33,60,69,8.23,ID,1619757720
yumen,40.2833,97.2,78.84,7,7,15.79,CN,1619757721
samarai,-10.6167,150.6667,81.1,77,43,10.6,PG,1619757721
tasiilaq,65.6145,-37.6368,28.4,93,99,1.14,GL,1619757721
provideniya,64.3833,-173.3,26.6,86,90,11.18,RU,1619757722
makakilo city,21.3469,-158.0858,80.6,54,90,9.22,US,1619757723
lebu,-37.6167,-73.65,55.18,93,100,9.04,CL,1619757609
hamilton,39.1834,-84.5333,54.0,82,1,6.91,US,1619757723
cabo san lucas,22.8909,-109.9124,71.01,53,0,8.19,MX,1619757682
aykhal,66.0,111.5,31.03,96,43,8.81,RU,1619757857
shingu,33.7333,135.9833,68.0,73,20,10.36,JP,1619757724
narasannapeta,18.4167,84.05,91.45,52,3,13.27,IN,1619757724
lavrentiya,65.5833,-171.0,25.12,77,32,4.12,RU,1619757724
zhezkazgan,47.8043,67.7144,58.03,36,100,16.89,KZ,1619757858
maanshan,31.6957,118.4983,84.2,39,0,17.9,CN,1619757725
jamestown,42.097,-79.2353,45.0,100,90,16.11,US,1619757445
san patricio,28.017,-97.5169,75.99,88,90,8.05,US,1619757726
kruisfontein,-34.0033,24.7314,55.0,95,85,1.01,ZA,1619757726
itoman,26.1247,127.6694,75.2,69,0,9.22,JP,1619757726
laguna,38.421,-121.4238,71.6,37,1,6.91,US,1619757727
narsaq,60.9167,-46.05,37.4,81,75,4.32,GL,1619757727
richards bay,-28.783,32.0377,68.47,88,100,17.18,ZA,1619757860
vetovo,43.7,26.2667,52.0,87,100,2.68,BG,1619757727
omsk,55.0,73.4,53.6,30,0,13.42,RU,1619757728
necochea,-38.5473,-58.7368,55.99,84,32,7.0,AR,1619757664
thinadhoo,0.5333,72.9333,83.5,70,20,4.45,MV,1619757728
thompson,55.7435,-97.8558,24.8,68,40,7.43,CA,1619757729
halifax,44.6453,-63.5724,48.0,87,100,2.3,CA,1619757860
barra velha,-26.6322,-48.6847,63.0,89,37,4.0,BR,1619757729
nome,64.5011,-165.4064,26.6,68,75,13.8,US,1619757729
shenkursk,62.1091,42.896,38.07,67,100,7.67,RU,1619757730
puerto ayora,-0.7393,-90.3518,75.24,84,51,8.1,EC,1619757730
komsomolskiy,40.4272,71.7189,84.2,18,3,4.61,UZ,1619757731
creston,41.0586,-94.3614,55.4,35,1,4.61,US,1619757731
fairbanks,64.8378,-147.7164,39.2,87,90,14.97,US,1619757731
coruripe,-10.1256,-36.1756,75.92,85,43,7.61,BR,1619757732
saldanha,-33.0117,17.9442,55.4,82,0,10.36,ZA,1619757732
rawlins,41.7911,-107.2387,51.01,42,1,3.44,US,1619757516
fortuna,40.5982,-124.1573,48.99,87,1,3.69,US,1619757733
ubinskoye,55.3068,79.6802,52.27,43,1,16.37,RU,1619757733
mayo,38.8876,-76.5119,69.01,83,100,8.01,US,1619757733
port lincoln,-34.7333,135.8667,73.71,40,76,10.76,AU,1619757734
bow island,49.8668,-111.3684,59.0,47,100,5.75,CA,1619757734
vostok,46.4856,135.8833,57.27,20,73,6.51,RU,1619757734
sitka,57.0531,-135.33,44.6,87,90,8.05,US,1619757735
osa,57.2829,55.4567,42.67,47,8,10.65,RU,1619757735
west helena,34.5507,-90.6418,68.0,94,1,9.13,US,1619757735
ribeira grande,38.5167,-28.7,57.51,65,100,7.34,PT,1619757736
okha,53.5739,142.9478,34.27,76,91,7.31,RU,1619757864
bengkulu,-3.8004,102.2655,81.64,78,98,5.66,ID,1619757722
airai,-8.9266,125.4092,71.91,67,44,2.26,TL,1619757736
torbay,47.6666,-52.7314,36.0,93,1,6.91,CA,1619757737
san rafael del sur,11.8485,-86.4384,82.4,69,40,6.91,NI,1619757737
buin,-33.7333,-70.75,62.01,93,63,6.91,CL,1619757737
hohhot,40.8106,111.6522,48.2,40,75,17.9,CN,1619757738
olinda,-8.0089,-34.8553,73.4,88,40,5.75,BR,1619757738
yerbogachen,61.2767,108.0108,39.49,59,81,6.55,RU,1619757738
tiznit,29.5833,-9.5,54.03,91,5,3.74,MA,1619757739
saskylakh,71.9167,114.0833,34.03,99,100,7.11,RU,1619757739
ilulissat,69.2167,-51.1,30.2,80,100,4.16,GL,1619757739
saint george,37.1041,-113.5841,75.2,17,1,4.27,US,1619757661
bathsheba,13.2167,-59.5167,78.8,65,40,12.66,BB,1619757740
gorele,41.0308,39.0031,59.0,82,75,5.75,TR,1619757740
new norfolk,-42.7826,147.0587,68.0,45,30,3.0,AU,1619757741
mahebourg,-20.4081,57.7,78.8,83,40,12.66,MU,1619757741
santa maria,-29.6842,-53.8069,52.56,87,0,4.88,BR,1619757741
geraldton,-28.7667,114.6,71.6,43,90,14.97,AU,1619757742
kapaa,22.0752,-159.319,75.2,69,1,13.8,US,1619757742
fort saint james,54.4333,-124.25,49.59,88,100,5.75,CA,1619757742
otukpo,7.1913,8.1329,75.27,82,100,3.62,NG,1619757743
poum,-20.2333,164.0167,77.2,60,88,13.87,NC,1619757743
cheremshan,54.6667,51.5,46.89,59,10,7.4,RU,1619757743
san jose,37.3394,-121.895,62.01,67,40,5.75,US,1619757579
comodoro rivadavia,-45.8667,-67.5,62.6,51,0,8.05,AR,1619757868
broome,42.2506,-75.833,52.0,100,90,12.66,US,1619757868
chimbote,-9.0853,-78.5783,65.34,90,2,6.51,PE,1619757744
beni mazar,28.4962,30.8029,79.92,18,0,8.19,EG,1619757744
huarmey,-10.0681,-78.1522,67.19,87,1,7.85,PE,1619757661
bethel,41.3712,-73.414,66.0,91,100,7.92,US,1619757745
polovinnoye,54.7914,65.9864,52.2,45,0,15.23,RU,1619757745
belaya gora,68.5333,146.4167,31.12,88,93,5.35,RU,1619757746
barrow,71.2906,-156.7887,19.4,86,90,5.75,US,1619757746
los llanos de aridane,28.6585,-17.9182,62.6,72,0,5.75,ES,1619757746
kimbe,-5.5502,150.1429,82.42,79,86,2.06,PG,1619757747
palana,59.1167,159.9667,30.99,94,78,7.78,RU,1619757747
mount gambier,-37.8333,140.7667,77.0,31,0,16.11,AU,1619757594
zaozerne,45.1582,33.2787,57.99,58,2,2.66,UA,1619757747
slantsy,59.1182,28.0914,38.01,62,100,6.31,RU,1619757748
bilibino,68.0546,166.4372,24.39,79,100,9.6,RU,1619757748
ribeiropolis,-10.5394,-37.4167,80.6,78,40,9.22,BR,1619757748
monrovia,6.3005,-10.7969,77.0,94,20,3.85,LR,1619757749
berlevag,70.8578,29.0864,28.4,69,75,25.32,NO,1619757749
kudahuvadhoo,2.6708,72.8944,83.41,70,45,0.27,MV,1619757749
noumea,-22.2763,166.4572,81.0,47,90,5.75,NC,1619757504
adrar,20.5022,-10.0711,74.75,38,9,9.55,MR,1619757750
daru,-9.0763,143.2092,82.8,71,40,11.14,PG,1619757750
alora,36.8236,-4.7058,57.2,72,0,11.5,ES,1619757750
barra patuca,15.8,-84.2833,79.77,75,2,13.42,HN,1619757751
shache,38.4167,77.2406,81.93,8,0,2.53,CN,1619757751
orotukan,62.2667,151.7,32.16,89,100,2.64,RU,1619757751
cayenne,4.9333,-52.3333,78.01,100,75,4.43,GF,1619757752
palmer,42.1584,-72.3287,53.01,100,90,11.5,US,1619757514
armenis,45.2,22.3167,55.35,88,91,5.39,RO,1619757752
jumla,29.2747,82.1838,63.81,40,86,5.93,NP,1619757753
kandrian,-6.2167,149.55,83.57,72,98,8.05,PG,1619757753
awjilah,29.1081,21.2869,79.47,16,0,9.35,LY,1619757753
qaqortoq,60.7167,-46.0333,37.4,81,75,6.49,GL,1619757754
quatre cocos,-20.2078,57.7625,80.01,83,40,12.66,MU,1619757754
hongjiang,27.11,109.9956,85.35,37,5,6.53,CN,1619757754
paamiut,61.994,-49.6678,36.28,83,6,2.73,GL,1619757755
manowa,8.1667,-10.75,72.97,99,99,1.3,SL,1619757755
makat,47.6469,53.3463,58.28,36,0,10.65,KZ,1619757755
victoria,22.2855,114.1577,82.4,57,20,8.05,HK,1619757756
kavieng,-2.5744,150.7967,84.79,68,40,8.84,PG,1619757756
phichit,16.25,100.4167,87.01,66,87,7.81,TH,1619757756
upernavik,72.7868,-56.1549,21.79,55,99,4.7,GL,1619757757
tarko-sale,64.9225,77.785,33.12,98,100,16.98,RU,1619757757
rawson,-43.3002,-65.1023,64.0,46,97,6.93,AR,1619757465
leningradskiy,69.3833,178.4167,23.02,85,92,17.25,RU,1619757757
pishin,30.5803,66.9961,77.5,19,24,0.63,PK,1619757758
ilam,26.9167,87.9167,83.86,29,22,7.0,NP,1619757758
cherskiy,68.75,161.3,20.43,89,65,11.12,RU,1619757758
ust-nera,64.5667,143.2,37.44,98,100,1.97,RU,1619757759
hofn,64.2539,-15.2082,39.4,61,14,6.78,IS,1619757759
ledyard,41.4398,-72.0142,61.0,94,75,11.5,US,1619757759
katsuura,35.1333,140.3,77.0,53,20,18.41,JP,1619757760
kanye,-24.9667,25.3327,55.8,89,69,6.55,BW,1619757760
katete,-0.7818,29.7544,63.63,81,100,2.28,UG,1619757760
zhanaozen,43.3,52.8,62.65,41,100,15.82,KZ,1619757673
magaria,12.9983,8.9099,77.32,12,48,4.38,NE,1619757761
tuktoyaktuk,69.4541,-133.0374,24.8,80,1,11.5,CA,1619757761
zyryanka,65.75,150.85,34.32,85,100,3.62,RU,1619757762
barceloneta,18.4505,-66.5385,73.0,90,11,6.73,PR,1619757762
deputatskiy,69.3,139.9,24.66,87,99,4.29,RU,1619757762
zavyalovo,54.5053,82.4484,55.4,38,0,11.18,RU,1619757763
luanda,-8.8368,13.2343,75.2,88,40,1.14,AO,1619757627
hopkinsville,36.8656,-87.4886,59.0,100,1,3.44,US,1619757763
ponta delgada,37.7333,-25.6667,55.4,82,75,4.61,PT,1619757764
oksfjord,70.2396,22.3479,28.4,69,40,23.02,NO,1619757764
sereflikochisar,38.9393,33.5386,63.68,51,99,16.46,TR,1619757764
poya,-21.35,165.15,76.68,56,91,7.47,NC,1619757765
niamey,13.5137,2.1098,89.6,25,0,6.91,NE,1619757765
lima,-12.0432,-77.0282,64.99,88,0,8.05,PE,1619757765
longfeng,46.55,125.1167,50.88,39,100,4.76,CN,1619757766
sao filipe,14.8961,-24.4956,72.09,76,57,9.06,CV,1619757766
pokosnoye,55.5258,101.0536,44.82,66,96,12.41,RU,1619757767
sicuani,-14.2694,-71.2261,39.36,82,8,1.05,PE,1619757767
ko samui,9.5357,99.9357,89.6,66,75,9.22,TH,1619757767
padang,-0.9492,100.3543,86.0,70,20,5.75,ID,1619757768
balakhninskiy,58.0106,114.2769,39.15,62,96,2.98,RU,1619757768
mishan,45.55,131.8833,60.42,23,100,7.09,CN,1619757768
husavik,66.0449,-17.3389,35.6,80,90,6.91,IS,1619757769
bose,45.4612,8.0137,51.01,96,86,2.35,IT,1619757769
ajdabiya,30.7554,20.2263,80.04,14,20,12.93,LY,1619757769
omboue,-1.5746,9.2618,75.24,92,100,4.74,GA,1619757770
beringovskiy,63.05,179.3167,28.56,81,41,6.73,RU,1619757770
nelson bay,-32.7167,152.15,73.0,68,40,11.5,AU,1619757770
iskateley,67.6803,53.1512,31.19,75,93,10.6,RU,1619757771
vestmannaeyjar,63.4427,-20.2734,42.94,75,97,6.44,IS,1619757771
terrace,54.5163,-128.6035,46.4,100,90,13.8,CA,1619757733
ati,13.2154,18.3353,78.55,9,16,4.7,TD,1619757772
iqaluit,63.7506,-68.5145,33.8,93,90,4.61,CA,1619757772
oussouye,12.485,-16.5469,71.51,70,42,5.19,SN,1619757772
aklavik,68.2191,-135.0107,42.8,38,24,3.44,CA,1619757773
kloulklubed,7.0419,134.2556,86.0,74,75,9.22,PW,1619757773
petatlan,17.5167,-101.2667,76.55,84,100,2.86,MX,1619757773
baykit,61.67,96.37,42.71,67,98,11.9,RU,1619757774
domodedovo,55.4422,37.7583,50.0,57,0,6.71,RU,1619757774
abha,18.2164,42.5053,62.6,72,20,5.75,SA,1619757774
lompoc,34.6391,-120.4579,53.6,82,13,5.75,US,1619757775
mittersill,47.2667,12.4833,46.99,96,100,2.1,AT,1619757775
boffa,10.1667,-14.0333,74.68,81,93,4.36,GN,1619757775
falam,22.9167,93.6833,82.42,32,28,4.27,MM,1619757776
tura,25.5198,90.2201,97.75,20,7,6.78,IN,1619757776
beboto,8.2668,16.939,77.5,70,100,3.29,TD,1619757776
chuy,-33.6971,-53.4616,54.77,85,0,4.72,UY,1619757777
dwarka,22.2394,68.9678,85.23,60,62,8.43,IN,1619757777
naryan-mar,67.6713,53.087,31.32,76,94,10.54,RU,1619757777
margate,51.3813,1.3862,42.01,80,44,1.01,GB,1619757778
esperance,-33.8667,121.9,59.0,72,75,24.16,AU,1619757778
muriwai beach,-36.8167,174.45,63.0,84,28,4.0,NZ,1619757778
saveh,35.0213,50.3566,73.15,26,0,6.46,IR,1619757779
constitucion,-35.3333,-72.4167,53.92,91,65,2.28,CL,1619757549
rantepao,-2.9701,119.8978,83.44,59,64,5.06,ID,1619757779
henties bay,-22.116,14.2845,57.99,87,2,4.65,NA,1619757779
dalton,34.7698,-84.9702,68.0,89,90,5.95,US,1619757780
evanston,42.0411,-87.6901,57.2,58,20,12.66,US,1619757780
san nicolas,18.1725,120.5953,86.0,66,40,8.05,PH,1619757780
makambako,-8.8453,34.823,59.74,85,100,7.38,TZ,1619757781
ituacu,-13.8133,-41.2967,67.28,93,16,2.1,BR,1619757781
hay river,60.8156,-115.7999,41.0,38,99,9.22,CA,1619757781
alyangula,-13.8483,136.4192,87.8,62,40,8.05,AU,1619757782
bahia honda,22.9036,-83.1592,75.4,84,2,2.93,CU,1619757502
amga,60.8953,131.9608,40.32,91,99,5.7,RU,1619757782
wanning,18.8003,110.3967,81.25,75,69,5.5,CN,1619757783
nuuk,64.1835,-51.7216,28.4,100,90,4.61,GL,1619757783
oranjemund,-28.55,16.4333,52.56,88,1,9.26,NA,1619757783
nichinan,31.6,131.3667,78.8,47,20,26.46,JP,1619757784
faya,18.3851,42.4509,62.6,72,20,5.75,SA,1619757784
bichura,50.5881,107.6022,47.25,34,88,4.79,RU,1619757785
bergama,39.1207,27.1805,62.6,72,0,1.14,TR,1619757785
kahului,20.8947,-156.47,77.0,83,40,12.66,US,1619757785
mujiayingzi,42.1167,118.7833,53.29,11,96,6.78,CN,1619757786
shakawe,-18.3667,21.85,63.0,68,13,3.96,BW,1619757786
porto nacional,-10.7081,-48.4172,73.4,100,40,4.61,BR,1619757786
kousseri,12.0769,15.0306,77.0,20,62,4.61,CM,1619757787
waitati,-45.75,170.5667,57.0,59,89,14.0,NZ,1619757787
humboldt,40.6665,-123.9178,48.99,87,1,2.19,US,1619757788
vuktyl,63.8567,57.3094,36.79,42,66,4.09,RU,1619757788
tenenkou,14.4572,-4.9169,91.2,25,90,7.18,ML,1619757788
iwaki,37.05,140.8833,63.0,59,20,16.11,JP,1619757789
ust-barguzin,53.45,108.9833,38.37,60,9,2.91,RU,1619757789
goure,13.9835,10.2704,76.1,10,50,6.13,NE,1619757789
camacha,33.0833,-16.3333,57.2,72,40,20.71,PT,1619757790
aban,56.67,96.06,46.51,73,100,10.74,RU,1619757790
ascension,30.2169,-90.9001,78.8,83,40,5.75,US,1619757790
raudeberg,61.9875,5.1352,39.99,76,17,15.93,NO,1619757791
stephenville,32.2207,-98.2023,62.6,94,90,11.5,US,1619757791
ashland,40.8167,-82.2665,51.8,87,20,10.36,US,1619757791
biltine,14.5333,20.9167,80.13,10,22,7.49,TD,1619757792
ust-maya,60.4167,134.5333,45.84,75,99,3.98,RU,1619757792
carroll,39.5501,-77.0164,66.99,89,99,5.01,US,1619757660
wick,58.4333,-3.0833,35.6,93,94,4.61,GB,1619757793
lincoln,40.8,-96.667,55.4,47,1,3.44,US,1619757318
hasaki,35.7333,140.8333,79.0,64,20,12.66,JP,1619757550
denpasar,-8.65,115.2167,86.0,74,20,14.97,ID,1619757793
ichinohe,40.2069,141.3017,53.6,71,75,19.57,JP,1619757554
rochefort,45.9167,-1.0,48.99,76,0,8.05,FR,1619757794
opuwo,-18.0607,13.84,62.69,56,60,3.38,NA,1619757794
acapulco,16.8634,-99.8901,78.13,81,57,4.34,MX,1619757794
ipixuna,-1.7625,-48.8043,75.2,100,75,1.14,BR,1619757795
egvekinot,66.3167,-179.1667,24.03,84,52,2.08,RU,1619757795
willowmore,-33.2926,23.4895,46.56,81,29,3.91,ZA,1619757795
baft,29.234,56.6057,65.05,31,90,7.2,IR,1619757796
sancraiu,46.8333,22.9833,50.0,100,40,5.75,RO,1619757796
nemuro,43.3236,145.575,42.8,100,75,24.16,JP,1619757796
severo-kurilsk,50.6789,156.125,40.39,76,22,11.14,RU,1619757793
jatai,-17.8814,-51.7144,62.2,43,100,3.62,BR,1619757698
hammerfest,70.6634,23.6821,24.8,74,75,11.5,NO,1619757797
talnakh,69.4865,88.3972,31.95,90,49,1.81,RU,1619757797
alofi,-19.0595,-169.9187,84.2,79,61,2.3,NU,1619757798
passo de camaragibe,-9.2368,-35.4901,73.4,94,0,77.11,BR,1619757798
panzhihua,26.5851,101.7128,88.16,25,66,2.15,CN,1619757798
codrington,-38.2667,141.9667,74.8,34,0,10.33,AU,1619757799
toyooka,35.5333,134.8333,59.0,72,75,9.22,JP,1619757799
pitiquito,30.7,-112.0833,69.01,25,0,8.77,MX,1619757586
burnie,-41.0667,145.9167,59.0,72,37,5.99,AU,1619757799
aguimes,27.9054,-15.4461,64.0,82,20,2.3,ES,1619757800
luoyang,34.6836,112.4536,86.07,20,0,24.87,CN,1619757800
konstancin-jeziorna,52.0938,21.1176,53.01,87,0,8.05,PL,1619757800
pau dos ferros,-6.1125,-38.2063,73.13,90,100,3.56,BR,1619757801
saint-francois,46.4154,3.9054,46.99,100,90,5.75,FR,1619757801
kushmurun,52.4503,64.6311,54.34,41,0,11.1,KZ,1619757802
awbari,26.5921,12.7805,79.92,19,98,3.83,LY,1619757802
najran,17.4924,44.1277,71.6,64,75,4.61,SA,1619757729
progreso,21.2833,-89.6667,84.2,54,40,19.57,MX,1619757803
tuy hoa,13.0833,109.3,86.14,63,72,9.15,VN,1619757803
namatanai,-3.6667,152.4333,85.98,62,83,4.27,PG,1619757803
bambous virieux,-20.3428,57.7575,80.01,83,40,12.66,MU,1619757797
wunsiedel,50.0333,12.0167,35.01,86,40,4.45,DE,1619757804
chunskiy,56.0815,99.6342,42.19,79,100,12.35,RU,1619757790
san andres,12.5847,-81.7006,80.6,74,40,5.75,CO,1619757610
shieli,44.1667,66.75,66.49,55,100,10.87,KZ,1619757804
arlit,18.7369,7.3853,82.99,9,1,5.44,NE,1619757805
west odessa,31.8424,-102.4988,55.4,94,90,8.05,US,1619757805
namibe,-15.1961,12.1522,73.31,79,86,2.84,AO,1619757779
pevek,69.7008,170.3133,21.83,84,100,10.25,RU,1619757806
romitan,39.9343,64.3814,73.4,43,0,13.8,UZ,1619757806
sangar,63.9242,127.4739,36.61,85,63,3.0,RU,1619757806
tutoia,-2.7619,-42.2744,75.94,90,100,8.21,BR,1619757807
amapa,1.0,-52.0,69.87,99,99,1.43,BR,1619757807
araouane,18.9048,-3.5265,89.92,27,96,19.04,ML,1619757807
gao,16.6362,1.637,84.51,12,2,6.02,ML,1619757808
calahorra,42.3051,-1.9652,44.6,100,20,5.75,ES,1619757808
santa barbara,34.7333,-120.0343,68.0,71,1,5.75,US,1619757615
jiexiu,37.0244,111.9125,70.0,16,6,25.08,CN,1619757809
ginir,7.1333,40.7,61.2,83,98,2.48,ET,1619757809
